,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
38,1272.903,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
39,1278.904,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
40,1314.659,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
41,1318.905,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
42,1325.906,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
43,1333.654,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
44,1345.153,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
45,1364.656,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
46,1374.404,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
47,1416.905,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
48,1420.405,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
49,1420.903,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
50,1433.151,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
51,1433.907,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
52,1439.656,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
53,1473.903,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
54,1480.153,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
55,1480.653,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
56,1484.154,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
57,1485.655,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
58,1535.405,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
59,1546.157,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
60,1556.653,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
61,1563.154,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
62,1588.159,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
63,1592.656,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
64,1624.157,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
65,1625.656,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
66,1629.656,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
67,1634.655,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
68,1637.655,C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4,2126.29,30.0,Subordinate,Fleeing Male,Subordinate,,POINT
