,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
394,1586.652,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
396,1589.403,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Quiver,Reproductive,,POINT
397,1591.152,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
398,1593.904,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
399,1597.153,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
401,1605.408,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Quiver,Reproductive,,POINT
402,1621.406,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Dig Substrate,Reproductive,,POINT
403,1629.403,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
404,1630.906,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
405,1632.406,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
406,1634.904,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
407,1637.403,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
408,1641.152,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
413,1655.659,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
414,1659.406,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
419,1683.903,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Quiver,Reproductive,,POINT
420,1685.403,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
423,1688.154,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
426,1690.657,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
428,1693.155,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
430,1710.903,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Lateral Side Display,Aggressive,,POINT
431,1713.908,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
433,1721.405,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
435,1723.901,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Foraging,Other,,POINT
436,1737.908,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Dig Substrate,Reproductive,,POINT
437,1738.653,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Dig Substrate,Reproductive,,POINT
438,1739.906,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Dig Substrate,Reproductive,,POINT
439,1744.156,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Dig Substrate,Reproductive,,POINT
442,1772.906,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
443,1783.656,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Foraging,Other,,POINT
444,1784.653,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Foraging,Other,,POINT
445,1812.653,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
447,1825.156,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
448,1828.405,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Dig Substrate,Reproductive,,POINT
450,1829.655,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Dig Substrate,Reproductive,,POINT
455,1835.653,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
459,1842.408,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Dig Substrate,Reproductive,,POINT
461,1845.156,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
462,1848.156,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
467,1851.905,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Dig Substrate,Reproductive,,POINT
468,1856.905,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
469,1858.905,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
470,1861.406,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Foraging,Other,,POINT
471,1862.402,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Foraging,Other,,POINT
472,1863.406,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Foraging,Other,,POINT
473,1864.402,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Foraging,Other,,POINT
474,1865.154,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Foraging,Other,,POINT
479,1868.405,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
480,1872.403,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
481,1874.905,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
484,1882.152,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
485,1886.154,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
488,1890.908,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
489,1890.908,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
491,1892.408,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
492,1897.154,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
493,1898.91,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
497,1902.652,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
499,1907.156,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
501,1908.156,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
509,1927.155,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
512,1931.406,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
513,1933.656,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
514,1951.654,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
515,1957.655,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
516,1968.909,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
517,1969.908,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
518,1970.652,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
520,1974.655,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
521,1978.405,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
522,1979.405,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Pot Dig,Reproductive,,POINT
526,1988.407,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
528,1999.402,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
530,2009.657,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
533,2016.404,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
534,2017.402,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Quiver,Reproductive,,POINT
536,2019.154,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Entry/Exit Pot,Reproductive,,POINT
537,2020.905,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
540,2028.905,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Lead,Reproductive,,POINT
546,2040.16,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Foraging,Other,,POINT
547,2042.407,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
549,2060.905,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Fleeing Female,Subordinate,,POINT
550,2061.912,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
551,2070.152,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
555,2080.657,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Dig Substrate,Reproductive,,POINT
564,2098.405,C:/Users/Kimberly/Desktop/Video Stitching/A2D/A2D Stitched.mp4,2126.29,30.0,Dominant,Chase,Aggressive,,POINT
