,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0,163.313,C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4,2126.15,29.97,Dominant,Chase,Aggressive,,POINT
1,229.571,C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4,2126.15,29.97,Dominant,Lead,Reproductive,,POINT
2,252.657,C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4,2126.15,29.97,Dominant,Lead,Reproductive,,POINT
3,258.157,C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4,2126.15,29.97,Dominant,Lead,Reproductive,,POINT
4,282.435,C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4,2126.15,29.97,Dominant,Lead,Reproductive,,POINT
5,407.311,C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4,2126.15,29.97,Dominant,Lead,Reproductive,,POINT
6,407.809,C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E1.MP4,2126.15,29.97,Dominant,Lead,Reproductive,,POINT
7,532.691,C:/Users/Kimberly/Desktop/Video Stitching/A2E/A2E2.MP4,2126.15,29.97,Dominant,Entry/Exit Pot,Reproductive,,POINT
