,Unnamed: 0,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0,0,306.965,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Pot Exit,Reproductive,,POINT
1,1,308.815,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Charge,Aggressive,,POINT
2,2,310.124,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Chase,Aggressive,,POINT
3,3,313.454,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Quiver,Reproductive,,POINT
4,4,314.34,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Charge,Aggressive,,POINT
5,5,314.34,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Lead,Reproductive,,POINT
6,6,315.791,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Lead,Reproductive,,POINT
7,7,316.331,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Lead,Reproductive,,POINT
8,8,320.654,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Lead,Reproductive,,POINT
9,9,323.624,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Chase,Aggressive,,POINT
10,10,332.262,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Foraging,Reproductive,,POINT
11,11,332.808,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Foraging,Reproductive,,POINT
12,12,339.646,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Chase,Aggressive,,POINT
13,13,343.153,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Chase,Aggressive,,POINT
14,14,346.391,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Chase,Aggressive,,POINT
15,15,358.634,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Foraging,Reproductive,,POINT
16,16,359.714,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Foraging,Reproductive,,POINT
17,17,361.874,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
18,18,366.282,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
19,19,369.253,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Lead,Reproductive,,POINT
20,20,372.001,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Scrape,Aggressive,,POINT
21,21,372.221,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Chase,Aggressive,,POINT
22,22,373.426,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Scrape,Aggressive,,POINT
23,23,373.572,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Chase,Aggressive,,POINT
24,24,374.951,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Scrape,Aggressive,,POINT
25,25,375.732,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Chase,Aggressive,,POINT
26,26,376.277,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Lead,Reproductive,,POINT
27,27,382.951,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi",1691.22,59.94,Dominant,Chase,Aggressive,,POINT
