Unnamed: 0,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0,304.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Lead,Reproductive,,POINT
1,311.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Biting,Aggressive,,POINT
2,339.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
3,340.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Charge,Aggressive,,POINT
4,341.626,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Quiver,Reproductive,,POINT
5,343.515,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Chase,Aggressive,,POINT
6,344.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
7,344.05,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Biting,Aggressive,,POINT
8,345.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Quiver,Reproductive,,POINT
9,350.805,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
10,359.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Charge,Aggressive,,POINT
11,361.426,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Lead,Reproductive,,POINT
12,364.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Charge,Aggressive,,POINT
13,369.435,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Charge,Aggressive,,POINT
14,372.042,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Biting,Aggressive,,POINT
15,372.582,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Chase,Aggressive,,POINT
16,379.398,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Chase,Aggressive,,POINT
17,382.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Charge,Aggressive,,POINT
18,383.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
19,384.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
20,387.701,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Lateral Side Display,Aggressive,,POINT
21,390.139,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
22,390.672,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
23,391.213,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
24,392.562,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
25,393.502,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
26,397.985,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Lead,Reproductive,,POINT
27,401.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Lead,Reproductive,,POINT
28,402.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Lead,Reproductive,,POINT
29,403.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Charge,Aggressive,,POINT
30,405.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Lateral Side Display,Aggressive,,POINT
31,407.232,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Chase,Aggressive,,POINT
32,410.745,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Charge,Aggressive,,POINT
33,411.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
34,411.763,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
35,419.114,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
36,420.461,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
37,423.213,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
38,423.702,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
39,428.292,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
40,431.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
41,432.074,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
42,440.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Charge,Aggressive,,POINT
43,447.621,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Charge,Aggressive,,POINT
44,448.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
45,448.135,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
46,450.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
47,456.643,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
48,457.455,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
49,460.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
50,462.852,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
51,466.631,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Dig Substrate,Reproductive,,POINT
52,469.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Biting,Aggressive,,POINT
53,470.144,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Biting,Aggressive,,POINT
54,473.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
55,475.0,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
56,482.022,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
57,482.562,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
58,483.533,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
59,484.722,"C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi",2225.22,59.94,Dominant,Foraging,Reproductive,,POINT
