,Unnamed: 0,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0,0,301.904,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Charge,Aggressive,,POINT
1,1,301.904,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Biting,Aggressive,,POINT
2,2,303.406,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Chase,Aggressive,,POINT
3,3,333.137,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Foraging,Reproductive,,POINT
4,4,341.543,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Charge,Aggressive,,POINT
5,5,341.543,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Biting,Aggressive,,POINT
6,6,343.347,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Charge,Aggressive,,POINT
7,7,343.347,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Biting,Aggressive,,POINT
8,8,345.75,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Chase,Aggressive,,POINT
9,9,348.451,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Biting,Aggressive,,POINT
10,10,348.757,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Chase,Aggressive,,POINT
11,11,349.752,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Biting,Aggressive,,POINT
12,12,356.659,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Foraging,Reproductive,,POINT
13,13,363.267,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Chase,Aggressive,,POINT
14,14,365.267,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Lead,Reproductive,,POINT
15,15,366.572,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Chase,Aggressive,,POINT
16,16,367.07,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Biting,Aggressive,,POINT
17,17,368.071,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Scrape,Aggressive,,POINT
18,18,373.075,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/14.avi",5195.69,29.97,Dominant,Biting,Aggressive,,POINT
