Observation id	#14							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Avi Score/14.avi							
								
Observation date	2021-05-09 11:53:21							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
602.709	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lead	Reproductive		POINT
604.208	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
607.513	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lateral Side Display	Aggressive		POINT
612.117	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lead	Reproductive		POINT
614.919	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
618.419	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Entry/Exit Pot	Reproductive		POINT
620.525	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Pot Dig	Reproductive		POINT
623.828	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Pot Dig	Reproductive		POINT
629.434	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Entry/Exit Pot	Reproductive		POINT
633.037	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lead	Reproductive		POINT
638.541	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lead	Reproductive		POINT
640.845	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
649.751	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Entry/Exit Pot	Reproductive		POINT
651.057	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Entry/Exit Pot	Reproductive		POINT
651.057	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Pot Dig	Reproductive		POINT
653.559	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Entry/Exit Pot	Reproductive		POINT
655.059	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Pot Dig	Reproductive		POINT
655.963	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Entry/Exit Pot	Reproductive		POINT
659.664	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
659.664	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lead	Reproductive		POINT
660.162	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
662.669	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
666.671	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
676.782	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Entry/Exit Pot	Reproductive		POINT
678.283	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Pot Dig	Reproductive		POINT
681.287	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Pot Dig	Reproductive		POINT
685.590	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Entry/Exit Pot	Reproductive		POINT
689.491	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
692.799	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Border Fight	Aggressive		POINT
692.799	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lead	Reproductive		POINT
698.004	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
701.807	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
701.807	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Scrape	Aggressive		POINT
706.310	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Foraging	Other		POINT
718.723	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
720.024	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Border Fight	Aggressive		POINT
725.130	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Foraging	Other		POINT
726.431	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Foraging	Other		POINT
736.540	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Foraging	Other		POINT
738.545	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Foraging	Other		POINT
746.050	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lead	Reproductive		POINT
749.454	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lead	Reproductive		POINT
752.458	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lead	Reproductive		POINT
755.262	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lead	Reproductive		POINT
755.960	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
759.866	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Lead	Reproductive		POINT
759.866	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Scrape	Aggressive		POINT
771.675	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Chase	Aggressive		POINT
771.675	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Quiver	Reproductive		POINT
781.987	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
787.093	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
789.193	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Foraging	Other		POINT
799.302	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Entry/Exit Pot	Reproductive		POINT
801.102	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Pot Dig	Reproductive		POINT
804.209	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Pot Dig	Reproductive		POINT
805.510	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Entry/Exit Pot	Reproductive		POINT
807.808	C:/Users/Kimberly/Desktop/Avi Score/14.avi	5195.690	29.97		Entry/Exit Pot	Reproductive		POINT
