Observation id	Dyad Score Log #16							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Score/16.mov							
								
Observation date	2021-06-10 12:51:37							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
548.554	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
554.659	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
557.162	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
558.864	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
560.363	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
561.367	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
563.567	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
567.071	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
571.274	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Foraging	Other		POINT
571.874	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Foraging	Other		POINT
572.376	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Foraging	Other		POINT
577.079	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lateral Side Display	Aggressive		POINT
584.990	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
588.593	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Border Fight	Aggressive		POINT
588.593	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
589.695	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
591.998	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
594.699	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
606.811	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Entry/Exit Pot	Reproductive		POINT
612.617	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Entry/Exit Pot	Reproductive		POINT
613.415	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
615.521	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
618.319	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
620.025	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
620.525	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
627.129	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
633.338	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
635.340	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
638.544	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
639.544	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
641.046	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
648.551	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
651.356	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
654.359	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
658.460	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
659.964	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
662.670	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Border Fight	Aggressive		POINT
664.670	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Foraging	Other		POINT
666.767	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
672.977	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Entry/Exit Pot	Reproductive		POINT
676.481	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Entry/Exit Pot	Reproductive		POINT
678.480	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
694.600	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
708.612	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Entry/Exit Pot	Reproductive		POINT
711.917	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Entry/Exit Pot	Reproductive		POINT
712.116	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
715.718	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
718.122	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
722.626	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
732.438	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
738.543	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lateral Side Display	Aggressive		POINT
738.944	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
743.549	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
750.956	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
753.558	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
756.462	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
760.463	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
766.571	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
768.072	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Border Fight	Aggressive		POINT
768.072	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
777.882	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Foraging	Other		POINT
778.685	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Foraging	Other		POINT
780.185	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
781.987	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
786.287	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
790.792	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
796.901	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
799.204	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
806.711	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
808.713	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
811.016	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
815.320	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
815.620	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
818.623	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
819.423	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
820.428	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
822.927	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Border Fight	Aggressive		POINT
822.927	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
826.630	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
831.436	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Entry/Exit Pot	Reproductive		POINT
842.647	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
843.248	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
843.748	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Border Fight	Aggressive		POINT
851.653	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
857.262	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
859.663	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
862.167	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
866.671	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
869.473	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
872.977	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
880.686	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
882.688	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Scrape	Aggressive		POINT
884.088	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Quiver	Reproductive		POINT
886.989	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
891.895	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Border Fight	Aggressive		POINT
891.895	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
901.706	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
901.706	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lateral Side Display	Aggressive		POINT
904.109	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
909.914	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
913.318	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
920.225	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
921.327	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Border Fight	Aggressive		POINT
921.327	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Chase	Aggressive		POINT
925.229	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
927.929	C:/Users/Kimberly/Desktop/Score/16.mov	2152.150	29.97		Lead	Reproductive		POINT
