Observation id	#4 Dyad Scoring							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Avi Score/4.avi							
								
Observation date	2021-04-16 20:02:55							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
633.638	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Lead	Reproductive		POINT
640.245	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Lead	Reproductive		POINT
640.746	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
641.946	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
647.853	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
650.154	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
650.355	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
651.657	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
652.956	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
654.259	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
657.162	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
659.767	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
661.569	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
662.568	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
666.370	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
676.981	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
678.484	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
685.391	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
689.494	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Lead	Reproductive		POINT
691.496	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
698.002	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
702.107	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
714.619	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
727.834	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
736.741	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
748.454	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
749.454	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Lead	Reproductive		POINT
752.757	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Lead	Reproductive		POINT
756.862	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
760.164	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
782.186	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
786.891	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
800.004	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
801.806	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
806.010	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
807.712	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
811.016	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
812.918	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
819.022	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
820.624	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
826.931	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
832.737	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
840.145	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
848.052	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
853.357	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
855.460	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
865.069	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
866.572	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
867.373	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
876.277	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
878.282	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
879.581	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
883.089	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
885.591	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
889.094	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
892.797	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
893.098	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
894.098	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
895.904	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
900.001	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
900.804	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Lead	Reproductive		POINT
903.308	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
903.507	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Lead	Reproductive		POINT
907.813	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
912.718	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Lead	Reproductive		POINT
921.326	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
923.327	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
929.033	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
930.834	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
933.336	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
944.752	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
951.956	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
953.459	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
