Observation id	Dyad 13							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Avi Score/13.avi							
								
Observation date	2021-05-04 11:09:08							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
495.100	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Entry/Exit Pot	Reproductive		POINT
497.098	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Pot Dig	Reproductive		POINT
498.403	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Pot Dig	Reproductive		POINT
499.404	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Pot Dig	Reproductive		POINT
502.408	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Entry/Exit Pot	Reproductive		POINT
506.818	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
513.918	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
517.522	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
524.327	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
524.327	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Scrape	Aggressive		POINT
526.127	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
536.140	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Foraging	Other		POINT
537.342	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
543.050	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
544.547	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
555.862	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
574.979	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
578.984	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
584.593	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
590.796	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
597.899	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
604.210	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
606.913	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Foraging	Other		POINT
607.212	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Foraging	Other		POINT
609.515	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Scrape	Aggressive		POINT
620.125	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Entry/Exit Pot	Reproductive		POINT
621.425	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Pot Dig	Reproductive		POINT
624.429	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Pot Dig	Reproductive		POINT
628.232	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Pot Dig	Reproductive		POINT
631.236	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Pot Dig	Reproductive		POINT
632.838	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Pot Dig	Reproductive		POINT
636.142	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Pot Dig	Reproductive		POINT
638.343	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Entry/Exit Pot	Reproductive		POINT
641.444	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Dig Substrate	Reproductive		POINT
643.751	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Quiver	Reproductive		POINT
646.250	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Border Fight	Aggressive		POINT
646.250	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
649.053	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
650.555	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Border Fight	Aggressive		POINT
650.555	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
654.659	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
655.962	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
657.962	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
659.764	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
663.567	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
664.670	C:/Users/Kimberly/Desktop/Avi Score/13.avi	3198.700	29.97		Chase	Aggressive		POINT
