Observation id	#3 Score Video							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Avi Score/3.avi							
								
Observation date	2021-04-16 19:13:03							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
626.472	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
629.715	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
633.224	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
634.752	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
637.186	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
638.803	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
640.424	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
651.763	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
653.383	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
664.993	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
667.151	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
670.391	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
671.476	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
673.906	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
675.251	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
679.303	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
690.646	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
692.444	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
695.145	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
697.303	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
698.655	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
703.782	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
707.022	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
714.316	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Entry /Exit Pot	Reproductive		POINT
716.651	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Pot	Reproductive		POINT
726.191	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Entry /Exit Pot	Reproductive		POINT
729.164	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
736.187	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
737.534	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
745.905	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
746.712	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
751.302	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
754.812	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
757.783	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
759.677	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
768.584	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
774.258	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
775.334	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
779.655	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
789.914	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
795.041	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
799.907	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
802.602	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Entry /Exit Pot	Reproductive		POINT
809.985	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
814.845	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
836.176	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
839.413	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
848.051	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
856.514	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Entry /Exit Pot	Reproductive		POINT
860.834	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Pot	Reproductive		POINT
862.002	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Entry /Exit Pot	Reproductive		POINT
869.294	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
871.726	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
874.422	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
875.771	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
877.661	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
878.203	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
889.814	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
893.053	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
893.863	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
900.885	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
903.315	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
905.203	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
911.952	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
914.921	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
918.162	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
922.756	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
927.072	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
930.044	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
930.583	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
937.606	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
938.413	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
940.031	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
946.514	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
950.295	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
952.994	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
955.962	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
966.224	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
970.274	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Quiver	Reproductive		POINT
971.264	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
976.391	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
987.464	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
989.355	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
995.292	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
996.641	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
997.723	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Quiver	Reproductive		POINT
1009.151	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
1012.303	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
1013.385	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
1017.436	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
1019.594	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
1026.612	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
1031.742	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
1032.552	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
1034.442	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
1050.372	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Entry /Exit Pot	Reproductive		POINT
1054.245	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Entry /Exit Pot	Reproductive		POINT
1054.333	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Pot	Reproductive		POINT
1058.023	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
1058.562	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
1062.615	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
1064.232	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
1069.635	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Chase	Aggressive		POINT
1082.865	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Dig Substrate	Reproductive		POINT
1084.213	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
1086.645	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Foraging	Other		POINT
1094.744	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
1099.875	C:/Users/Kimberly/Desktop/Avi Score/3.avi	2227.240	29.97		Lead	Reproductive		POINT
