Observation id	A2C (sub.)							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4							
								
Observation date	2021-06-14 13:59:42							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1272.903	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1278.904	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1314.659	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1318.905	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1325.906	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1333.654	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1345.153	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1364.656	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1374.404	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1416.905	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1420.405	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1420.903	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1433.151	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1433.907	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1439.656	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1473.903	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1480.153	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1480.653	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1484.154	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
