Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
304.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Lead	Reproductive		POINT
311.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Biting	Aggressive		POINT
339.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
340.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
341.626	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Quiver	Reproductive		POINT
343.515	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
344.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
344.050	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Biting	Aggressive		POINT
345.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Quiver	Reproductive		POINT
350.805	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
359.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
361.426	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Lead	Reproductive		POINT
364.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
369.435	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
372.042	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Biting	Aggressive		POINT
372.582	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
379.398	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
382.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
383.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
384.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
387.701	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Lateral Side Display	Aggressive		POINT
390.139	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
390.672	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
391.213	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
392.562	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
393.502	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
397.985	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Lead	Reproductive		POINT
401.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Lead	Reproductive		POINT
402.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Lead	Reproductive		POINT
403.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
405.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Lateral Side Display	Aggressive		POINT
407.232	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
410.745	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
411.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
411.763	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
419.114	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
420.461	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
423.213	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
423.702	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
428.292	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
431.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
432.074	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
440.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
447.621	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
448.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
448.135	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
450.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
456.643	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
457.455	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
460.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
462.852	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
466.631	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
469.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Biting	Aggressive		POINT
470.144	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Biting	Aggressive		POINT
473.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
475.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
482.022	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
482.562	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
483.533	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
484.722	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
486.342	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
491.205	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
493.091	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
495.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
496.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
500.923	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Foraging	Reproductive		POINT
502.725	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
506.343	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
507.883	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
513.394	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Dig Substrate	Reproductive		POINT
521.736	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
523.342	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Lead	Reproductive		POINT
524.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
526.457	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
526.586	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
527.122	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Biting	Aggressive		POINT
532.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Lateral Side Display	Aggressive		POINT
535.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
536.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
540.707	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
543.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
545.000	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
547.093	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Chase	Aggressive		POINT
548.894	C:/Users/Kimberly/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/1.avi	2225.220	59.94	Dominant	Charge	Aggressive		POINT
