Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
302.207	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
306.000	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97	Dominant	Charge	Aggressive		POINT
306.312	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
306.774	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97	Dominant	Biting	Aggressive		POINT
308.514	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
311.216	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
315.750	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97	Dominant	Biting	Aggressive		POINT
315.821	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
318.850	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97	Dominant	Biting	Aggressive		POINT
320.725	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Quiver	Reproductive		POINT
325.830	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
326.000	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97	Dominant	Scrape	Aggressive		POINT
329.735	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Foraging	Reproductive		POINT
332.240	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
336.642	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
336.724	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97	Dominant	Scrape	Aggressive		POINT
337.940	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
339.547	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
346.152	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
346.174	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97	Dominant	Biting	Aggressive		POINT
351.857	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
352.425	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97	Dominant	Biting	Aggressive		POINT
357.261	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
364.525	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97	Dominant	Charge	Aggressive		POINT
364.950	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97	Dominant	Biting	Aggressive		POINT
365.070	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/19.avi	625.290	29.97		Lead	Reproductive		POINT
