Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
306.965	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94	Dominant	Pot Exit	Reproductive		POINT
308.815	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94	Dominant	Charge	Aggressive		POINT
310.124	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Chase	Aggressive		POINT
313.454	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Quiver	Reproductive		POINT
314.340	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94	Dominant	Charge	Aggressive		POINT
314.340	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94	Dominant	Lead	Reproductive		POINT
315.791	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Lead	Reproductive		POINT
316.331	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Lead	Reproductive		POINT
320.654	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Lead	Reproductive		POINT
323.624	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Chase	Aggressive		POINT
332.262	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Foraging	Reproductive		POINT
332.808	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Foraging	Reproductive		POINT
339.646	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Chase	Aggressive		POINT
343.153	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Chase	Aggressive		POINT
346.391	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Chase	Aggressive		POINT
358.634	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Foraging	Reproductive		POINT
359.714	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Foraging	Reproductive		POINT
361.874	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Dig Substrate	Reproductive		POINT
366.282	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Dig Substrate	Reproductive		POINT
369.253	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Lead	Reproductive		POINT
372.001	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94	Dominant	Scrape	Aggressive		POINT
372.221	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Chase	Aggressive		POINT
373.426	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94	Dominant	Scrape	Aggressive		POINT
373.572	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Chase	Aggressive		POINT
374.951	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94	Dominant	Scrape	Aggressive		POINT
375.732	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Chase	Aggressive		POINT
376.277	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Lead	Reproductive		POINT
382.951	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94	Dominant	Chase	Aggressive		POINT
383.563	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Chase	Aggressive		POINT
383.950	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94	Dominant	Scrape	Aggressive		POINT
384.552	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Foraging	Reproductive		POINT
390.674	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Lead	Reproductive		POINT
392.833	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Dig Substrate	Reproductive		POINT
395.352	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Dig Substrate	Reproductive		POINT
395.624	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.220	59.94		Foraging	Reproductive		POINT
