Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
306.053	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Foraging	Reproductive		POINT
307.829	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
311.979	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
317.629	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Lead	Reproductive		POINT
324.254	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Charge	Aggressive		POINT
324.529	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Chase	Aggressive		POINT
335.129	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
338.504	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Charge	Aggressive		POINT
342.428	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Pot Entry	Reproductive		POINT
346.303	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Pot Dig	Reproductive		POINT
350.679	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Pot Dig	Reproductive		POINT
351.754	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Pot Exit	Reproductive		POINT
357.978	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
361.353	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
366.553	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
368.604	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
370.178	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
371.929	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
373.704	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
374.979	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
376.529	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Dig Substrate	Reproductive		POINT
381.453	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/11.avi	2227.230	59.94	Dominant	Lead	Reproductive		POINT
