Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
310.913	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97	Dominant	Scrape	Aggressive		POINT
311.413	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97	Dominant	Dig Substrate	Reproductive		POINT
313.916	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97	Dominant	Biting	Aggressive		POINT
314.516	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97	Dominant	Biting	Aggressive		POINT
314.617	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Chase	Aggressive		POINT
318.024	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Chase	Aggressive		POINT
319.022	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97	Dominant	Scrape	Aggressive		POINT
319.424	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Scrape	Aggressive		POINT
328.333	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Scrape	Aggressive		POINT
331.736	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Dig Substrate	Reproductive		POINT
337.542	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Scrape	Aggressive		POINT
343.846	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Foraging	Reproductive		POINT
344.551	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Foraging	Reproductive		POINT
354.662	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Dig Substrate	Reproductive		POINT
367.670	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Chase	Aggressive		POINT
369.171	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97	Dominant	Scrape	Aggressive		POINT
373.480	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Dig Substrate	Reproductive		POINT
374.780	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Dig Substrate	Reproductive		POINT
375.781	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Scrape	Aggressive		POINT
377.783	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Dig Substrate	Reproductive		POINT
379.983	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97	Dominant	Scrape	Aggressive		POINT
380.682	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97	Dominant	Lead	Reproductive		POINT
381.587	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Quiver	Reproductive		POINT
384.289	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Lead	Reproductive		POINT
384.289	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Scrape	Aggressive		POINT
385.690	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Dig Substrate	Reproductive		POINT
389.395	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Quiver	Reproductive		POINT
395.201	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Lead	Reproductive		POINT
396.198	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97	Dominant	Scrape	Aggressive		POINT
398.004	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/18.avi	3672.670	29.97		Foraging	Reproductive		POINT
