,Behavior,Behavioral category,duration_0,duration_1,duration_2,avg,stderr
0,Dig Substrate,Reproductive,143.25700000000018,0.0,0.0,47.75233333333339,47.7523333333334
1,Entry/Exit Pot,Reproductive,11.504999999999995,0.0,0.0,3.8349999999999986,3.834999999999999
2,Fleeing Male,Subordinate,1355.2479999999998,1492.497,0.0,949.2483333333333,476.27499785744703
3,Foraging,Reproductive,230.24000000000024,0.0,0.0,76.74666666666674,76.74666666666675
4,Pot Dig,Reproductive,304.655,0.0,0.0,101.55166666666666,101.55166666666666
5,Quiver,Reproductive,49.25,0.0,0.0,16.416666666666668,16.416666666666664
6,Fleeing Female,Subordinate,0.0,69.75099999999998,0.0,23.250333333333327,23.250333333333327
