,Behavior,Behavioral category,prob_0,prob_1,prob_2,avg,stderr
0,Dig Substrate,Reproductive,0.06840802137377613,0.0,,0.03420401068688807,0.03420401068688807
1,Entry/Exit Pot,Reproductive,0.0054938626796965815,0.0,,0.0027469313398482908,0.0027469313398482903
2,Fleeing Male,Subordinate,0.6471574453657918,0.9553521591962352,,0.8012548022810135,0.15409735691522167
3,Foraging,Reproductive,0.10994410633405848,0.0,,0.05497205316702924,0.05497205316702923
4,Pot Dig,Reproductive,0.1454787253092536,0.0,,0.0727393626546268,0.0727393626546268
5,Quiver,Reproductive,0.023517838937423444,0.0,,0.011758919468711722,0.011758919468711722
6,Fleeing Female,Subordinate,0.0,0.04464784080376481,,0.022323920401882406,0.022323920401882403
