,Behavior,Behavior next,Behavioral category,Counts_0,Counts_1,Counts_2,Counts_3,Counts_4,Counts_5,Counts_6,Counts_7,Counts_8,Counts_9,Counts_10,avg,sterr,stderr
64,Border Fight,Pot,Aggressive,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.0,0.31228298249668485
65,Chase,Pot,Aggressive,0.0,0.0,4.0,0.0,6.0,3.0,0.0,3.0,7.0,1.0,1.0,2.272727272727273,0.0,0.7638527831854547
66,Foraging,Border Fight,Reproductive,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.2816715160878121
67,Foraging,Lateral Side Display,Reproductive,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.12196734422726124
68,Lead,Lateral Side Display,Reproductive,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.12196734422726124
69,Pot Dig,Lead,Reproductive,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.12196734422726124
70,Quiver,Lateral Side Display,Reproductive,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0909090909090909
71,Dig Substrate,Lateral Side Display,Reproductive,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0909090909090909
72,Foraging,Quiver,Reproductive,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,1.3636363636363635,0.0,0.8870044303745797
73,Lateral Side Display,Scrape,Aggressive,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.1818181818181818
74,Pot,Quiver,Reproductive,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.6363636363636364,0.0,0.30962520665320736
75,Quiver,Pot Dig,Reproductive,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0909090909090909
76,Pot,Lateral Side Display,Reproductive,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0909090909090909
77,Quiver,Pot,Reproductive,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.8181818181818182,0.0,0.5012381364396443
78,Pot Dig,Dig Substrate,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.1818181818181818
79,Quiver,Scrape,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0909090909090909
80,Dig Pot,Dig Pot,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.18181818181818182,0.0,0.12196734422726126
81,Dig Pot,Pot,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,2.272727272727273,0.0,2.174609302802393
82,Pot,Dig Pot,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,2.3636363636363638,0.0,2.1711862165131897
83,Dig Pot,Chase,Reproductive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.09090909090909091,0.0,0.09090909090909091
