Observation id	Dyad #8.1							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Avi Score/8.avi							
								
Observation date	2021-06-11 20:34:53							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
533.864	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
536.386	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
539.081	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
561.854	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
567.522	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
569.143	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Quiver	Reproductive		POINT
571.121	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
572.562	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
574.181	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
618.462	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
622.515	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
625.485	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
630.070	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
631.693	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Quiver	Reproductive		POINT
633.941	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Quiver	Reproductive		POINT
636.462	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
673.185	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
685.064	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
699.105	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
701.535	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
713.952	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Quiver	Reproductive		POINT
715.571	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
720.703	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
723.671	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Quiver	Reproductive		POINT
725.835	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
726.103	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
735.820	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
759.314	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Quiver	Reproductive		POINT
785.503	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Quiver	Reproductive		POINT
813.045	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
844.990	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Foraging	Other		POINT
855.793	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
856.333	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
860.651	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
870.105	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
871.725	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
874.691	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
877.392	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
883.337	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
889.542	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
890.086	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
897.104	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
902.234	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
905.560	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
906.376	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
909.795	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
915.733	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Foraging	Other		POINT
932.743	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
939.225	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
945.973	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
949.753	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
971.890	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
976.481	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
981.522	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
1014.460	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
1017.431	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
1027.966	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
1032.011	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
1040.924	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Entry/Exit Pot	Reproductive		POINT
1046.594	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Pot Dig	Reproductive		POINT
1048.482	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Entry/Exit Pot	Reproductive		POINT
1051.453	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
1055.776	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
1058.744	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
1059.824	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
1064.954	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
1071.704	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Lead	Reproductive		POINT
1074.134	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Quiver	Reproductive		POINT
1077.829	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
1081.063	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Chase	Aggressive		POINT
1089.077	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
1101.763	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
1102.304	C:/Users/Kimberly/Desktop/Avi Score/8.avi	1407.460	29.97		Dig Substrate	Reproductive		POINT
