	Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
0	312.404	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Quiver	Reproductive		POINT
1	313.054	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Pot Entry	Reproductive		POINT
2	313.753	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Pot Dig	Reproductive		POINT
3	313.753	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Pot Exit	Reproductive		POINT
4	314.403	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Quiver	Reproductive		POINT
5	314.753	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Pot Entry	Reproductive		POINT
6	315.429	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Pot Dig	Reproductive		POINT
7	315.705	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Pot Exit	Reproductive		POINT
8	320.204	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
9	325.103	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
10	334.154	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Charge	Aggressive		POINT
11	344.679	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Charge	Aggressive		POINT
12	358.453	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Foraging	Reproductive		POINT
13	358.954	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Foraging	Reproductive		POINT
14	359.454	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Foraging	Reproductive		POINT
15	360.204	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Foraging	Reproductive		POINT
16	362.004	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
17	369.954	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
18	372.479	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
19	372.479	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Quiver	Reproductive		POINT
20	377.98	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Pot Entry	Reproductive		POINT
21	378.854	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Pot Dig	Reproductive		POINT
22	390.729	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Pot Exit	Reproductive		POINT
23	393.604	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Biting	Aggressive		POINT
24	396.654	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Quiver	Reproductive		POINT
25	398.229	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
26	403.929	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
27	414.404	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
28	505.054	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
29	506.605	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Scrape	Aggressive		POINT
30	525.879	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Charge	Aggressive		POINT
31	525.879	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Biting	Aggressive		POINT
32	526.703	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Charge	Aggressive		POINT
33	528.279	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
34	528.304	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Quiver	Reproductive		POINT
35	536.33	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
36	536.33	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Quiver	Reproductive		POINT
37	537.829	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
38	539.404	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
39	547.555	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
40	551.554	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
41	552.278	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/6.avi	996.5	59.94	Dominant	Lead	Reproductive		POINT
