	Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
0	306.965	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.22	59.94	Dominant	Pot Exit	Reproductive		POINT
1	308.815	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.22	59.94	Dominant	Charge	Aggressive		POINT
2	310.124	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.22	59.94	Dominant	Chase	Aggressive		POINT
3	313.454	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.22	59.94	Dominant	Quiver	Reproductive		POINT
4	314.34	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.22	59.94	Dominant	Charge	Aggressive		POINT
5	314.34	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.22	59.94	Dominant	Lead	Reproductive		POINT
6	315.791	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.22	59.94	Dominant	Lead	Reproductive		POINT
7	316.331	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.22	59.94	Dominant	Lead	Reproductive		POINT
8	320.654	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.22	59.94	Dominant	Lead	Reproductive		POINT
9	323.624	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/12.avi	1691.22	59.94	Dominant	Chase	Aggressive		POINT
