	Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
0	300.506	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Pot Dig	Reproductive		POINT
1	301.305	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Pot Dig	Reproductive		POINT
2	303.709	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Pot Exit	Reproductive		POINT
3	310.114	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
4	311.416	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
5	312.417	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
6	316.221	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
7	319.024	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
8	321.225	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
9	326.433	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
10	331.638	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
11	332.437	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
12	337.243	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
13	344.048	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Lead	Reproductive		POINT
14	345.75	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Lead	Reproductive		POINT
15	347.651	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Chase	Aggressive		POINT
16	349.054	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Chase	Aggressive		POINT
17	349.151	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Biting	Aggressive		POINT
18	352.658	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Charge	Aggressive		POINT
19	353.563	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Charge	Aggressive		POINT
20	354.36	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Chase	Aggressive		POINT
21	355.861	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Chase	Aggressive		POINT
22	363.768	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
23	364.569	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
24	367.071	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
25	373.812	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Charge	Aggressive		POINT
26	376.663	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Biting	Aggressive		POINT
27	383.438	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Charge	Aggressive		POINT
28	383.438	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Biting	Aggressive		POINT
29	383.988	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Chase	Aggressive		POINT
30	388.393	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
31	391.696	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
32	396.001	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
33	402.505	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
34	405.111	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
35	408.613	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
36	414.718	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
37	416.822	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
38	417.623	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
39	418.423	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
40	421.527	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
41	423.028	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
42	426.332	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
43	437.441	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
44	442.05	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
45	450.558	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
46	461.463	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
47	462.968	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
48	466.47	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
49	473.08	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
50	473.879	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
51	479.685	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
52	484.288	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
53	495.1	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Pot Entry	Reproductive		POINT
54	497.098	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Pot Dig	Reproductive		POINT
55	498.403	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Pot Dig	Reproductive		POINT
56	499.404	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Pot Dig	Reproductive		POINT
57	502.408	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Pot Exit	Reproductive		POINT
58	506.818	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
59	513.918	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
60	517.522	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
61	524.327	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Chase	Aggressive		POINT
62	524.327	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Scrape	Aggressive		POINT
63	526.127	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Chase	Aggressive		POINT
64	536.14	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Foraging	Reproductive		POINT
65	537.342	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
66	543.05	C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi	3198.7	29.97	Dominant	Dig Substrate	Reproductive		POINT
